c,sigma,sigma_prime,kappa,phat_one,m,identity_relerr,residual
0.361,0.05788023463529945,0.22305648150725008,1.4015052072490102,-6.283185307179587,13.263435719844093,2.03486528445762e-11,6.672440377997191e-14
0.362,0.05810368537491616,0.22384612359558928,1.4064666748164285,-6.283185307179587,13.301562281113846,2.0252084481791127e-11,5.417888360170764e-14
0.363,0.058327929131918504,0.22464251368696153,1.4114705413373425,-6.283185307179587,13.340022406919449,2.0165815000706513e-11,5.617728504603292e-14
0.364,0.05855297265824636,0.22544567669316043,1.416516963337194,-6.283185307179585,13.37886352193452,2.0070930313220332e-11,6.816769371198461e-14
0.365,0.05877882278319433,0.22625572944216152,1.4216066748677758,-6.283185307179587,13.418012830777922,1.998673208079281e-11,5.140332604014475e-14
0.366,0.0590054864293984,0.2270727172259441,1.4267399605070077,-6.283185307179587,13.45749339073932,1.9898169076330107e-11,5.773159728050814e-14
0.367,0.059232970531954754,0.22789665343946694,1.431916904417892,-6.283185307179587,13.497369819833429,1.980901679662222e-11,6.561418075534675e-14
0.368,0.05946128209132151,0.2287276520442449,1.4371382226417415,-6.283185307179587,13.537574831614293,1.972190648969129e-11,7.416289804496046e-14
0.369,0.05969042821256788,0.22956577696441918,1.4424043168257898,-6.283185307179587,13.578108879515021,1.9630353046356725e-11,6.727951529228449e-14
0.37,0.05992041602040843,0.2304110328540126,1.4477152162121123,-6.283185307179585,13.619050196559023,1.954284872670665e-11,6.461498003318411e-14
0.371,0.060151252690825247,0.2312635252308945,1.4530715837890567,-6.283185307179588,13.660344371861504,1.9445442592505153e-11,5.695444116327053e-14
0.372,0.060382945512617,0.2321233382900626,1.4584739485693714,-6.283185307179587,13.701967055559162,1.9353622527451647e-11,6.794564910705958e-14
0.373,0.06061550180622448,0.232990472720869,1.463922314884389,-6.283185307179585,13.744003879233539,1.9264150051157138e-11,6.994405055138486e-14
0.374,0.06084892892874954,0.23386501990747302,1.4694172569177322,-6.283185307179585,13.786420849857908,1.916642221380498e-11,8.326672684688674e-14
0.375,0.06108323435344034,0.2347470838275574,1.4749594279804374,-6.283185307179587,13.829169394406765,1.9069113039416762e-11,7.360778653264788e-14
0.376,0.06131842560185485,0.23563666782590467,1.4805488490883933,-6.283185307179587,13.872333880667965,1.897117704786178e-11,8.049116928532385e-14
0.377,0.06155451021905699,0.23653384432228902,1.4861859752684694,-6.283185307179587,13.915907178376251,1.8867545081468175e-11,6.483702463810914e-14
0.378,0.06179149586344029,0.23743873385951347,1.4918715639134268,-6.283185307179587,13.959820654369079,1.8763342559549646e-11,1.0746958878371515e-13
0.379,0.062029390261750764,0.23835135029353083,1.4976057020827869,-6.283185307179587,14.004147088886683,1.865710234767486e-11,7.80486786311485e-14
0.38,0.06226820115509402,0.23927174426434472,1.5033887079570807,-6.283185307179587,14.04891004086408,1.854590020740346e-11,6.483702463810914e-14
0.381,0.06250793638820955,0.24020004669767953,1.5092214041668872,-6.283185307179585,14.094028890600281,1.8435384694515348e-11,6.927791673660977e-14
