xi,phi_prime,phat
-181.54296875,-7.574052063691677e-09,-1.3381648693963815e-10
-181.4453125,-5.872281138346662e-09,-7.857302466467657e-11
-181.34765625,-3.8489163077556165e-09,-2.0599859982422653e-11
-181.25,-1.5970802157261705e-09,3.725780251947551e-11
-181.15234375,7.770637339494621e-10,9.2214748192822e-11
-181.0546875,3.1592975401986377e-09,1.4167867572448685e-10
-180.95703125,5.43276259297151e-09,1.8337151761446034e-10
-180.859375,7.483679433369366e-09,2.1543307167698795e-10
-180.76171875,9.206992678346041e-09,2.3650275300542066e-10
-180.6640625,1.0511661739509471e-08,2.457754804014349e-10
-180.56640625,1.1325435828045895e-08,2.430299657998234e-10
-180.46875,1.1598791563996765e-08,2.286281030241222e-10
-180.37109375,1.1307787250752955e-08,2.0348650693421807e-10
-180.2734375,1.0455720331047041e-08,1.6902163562002183e-10
-180.17578125,9.073496599176896e-09,1.2707211626682966e-10
-180.078125,7.218686064101498e-09,7.98019791611315e-11
-179.98046875,4.973190818782599e-09,2.959030115006705e-11
-179.8828125,2.4396703023931987e-09,-2.1087640966271833e-11
-179.78515625,-2.630334724297896e-10,-6.97813419784181e-11
-179.6875,-3.0054567590351634e-09,-1.141827745520138e-10
-179.58984375,-5.653699187708732e-09,-1.5223474206100505e-10
-179.4921875,-8.075845354795864e-09,-1.822253176056908e-10
-179.39453125,-1.0148522616480227e-08,-2.0286360281919306e-10
-179.296875,-1.176311365812287e-08,-2.133339972243693e-10
-179.19921875,-1.2831401536592372e-08,-2.1332628914509342e-10
-179.1015625,-1.3290262166031541e-08,-2.030410667907227e-10
-179.00390625,-1.3105300138467447e-08,-1.831701727297735e-10
-178.90625,-1.2273034102565525e-08,-1.5485410921518949e-10
-178.80859375,-1.0821744488916295e-08,-1.1961839658795517e-10
-178.7109375,-8.81064866147217e-09,-7.929284457799774e-11
-178.61328125,-6.327614518907862e-09,-3.591745938350286e-11
-178.515625,-3.4854085208769722e-09,8.359730769204569e-12
-178.41796875,-4.1664515694300976e-10,5.138835021779203e-11
-178.3203125,2.7323767785506073e-09,9.111919581093087e-11
-178.22265625,5.808542591705609e-09,1.2570115421954053e-10
-178.125,8.659315008636114e-09,1.5356647412436186e-10
-178.02734375,1.1140321135543068e-08,1.735010083825223e-10
-177.9296875,1.3122491658069763e-08,1.846958271610886e-10
-177.83203125,1.449874437424093e-08,1.8677857482337968e-10
-177.734375,1.518968449423098e-08,1.7982294213112533e-10
-177.63671875,1.5148008571082534e-08,1.6433672158649782e-10
-177.5390625,1.4361507194518325e-08,1.4122892315690925e-10
-177.44140625,1.2854283984207759e-08,1.1175844337857352e-10
-177.34375,1.0686346510254558e-08,7.746660321323627e-11
-177.24609375,7.951286468292954e-09,4.009762427996345e-11
-177.1484375,4.772396807932793e-09,1.5105924679512129e-12
-177.05078125,1.2971659421170191e-09,-3.641217312325735e-11
-176.953125,-2.3094772416654155e-09,-7.185637802601862e-11
-176.85546875,-5.872945994894853e-09,-1.0316173099409532e-10
-176.7578125,-9.217372388750074e-09,-1.2889911994712131e-10
-176.66015625,-1.2174222115168944e-08,-1.4793491603213208e-10
-176.5625,-1.4590725193318837e-08,-1.5948007433937735e-10
-176.46484375,-1.6337657892911365e-08,-1.631214342551717e-10
-176.3671875,-1.7316189548686524e-08,-1.5883457479394755e-10
-176.26953125,-1.7463271445887867e-08,-1.4697743338054077e-10
-176.171875,-1.6755467032460308e-08,-1.282658889110989e-10
-176.07421875,-1.5210903505901504e-08,-1.037323027610624e-10
-175.9765625,-1.2889139391361498e-08,-7.466986923981385e-11
-175.87890625,-9.889067624238116e-09,-4.2565197720459186e-11
-175.78125,-6.344826438447399e-09,-9.023130468696133e-12
-175.68359375,-2.419895576251039e-09,2.431296600623437e-11
-175.5859375,1.7003676815541158e-09,5.584097563471561e-11
-175.48828125,5.817371655075451e-09,8.407656417230952e-11
-175.390625,9.728857543806934e-09,1.077223056666672e-10
-175.29296875,1.3238713453404079e-08,1.2572675304953493e-10
